Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testSubstringIntInt,10,1,8,5,0.14849168858305223,0.011240118441665507,0.06250198700035849,0.04532443741853299,0.05513763017150555
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testMidString,9,1,5,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testRightString,7,1,5,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLeftString,7,1,4,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testContains_char,7,1,4,3,0.14849168858305223,0.020239448616992936,0.08384100050538326,0.08279186431610462,0.06413255631218558
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testContains_String,8,1,5,3,0.14849168858305223,0.020239448616992936,0.08384100050538326,0.08279186431610462,0.06413255631218558
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testContains_StrMatcher,12,1,4,3,0.14849168858305223,0.020239448616992936,0.07135185820619272,0.04532443741853299,0.06797226815931141
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOf_char,8,1,5,4,0.14849168858305223,0.020239448616992936,0.0742118597336707,0.06405815086731881,0.0557931112303565
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOf_char_int,15,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLastIndexOf_char,8,1,3,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLastIndexOf_char_int,13,1,3,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOf_String,13,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOf_String_int,25,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLastIndexOf_String,13,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLastIndexOf_String_int,25,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOf_StrMatcher,14,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOf_StrMatcher_int,33,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLastIndexOf_StrMatcher,14,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLastIndexOf_StrMatcher_int,34,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::StrMatcher,12,5,5,3,0.14849168858305223,0.020239448616992936,0.08384100050538326,0.08279186431610462,0.06413255631218558
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAsTokenizer,31,1,6,4,0.14849168858305223,0.024661826242437065,0.07531745414003173,0.06405815086731881,0.05439334850131948
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAsReader,47,1,7,5,0.14849168858305223,0.020239448616992936,0.06430185303542396,0.04532443741853299,0.05315726299734284
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAsWriter,23,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testEqualsIgnoreCase,17,1,6,4,0.14849168858305223,0.020239448616992936,0.0742118597336707,0.06405815086731881,0.0557931112303565
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testEquals,19,1,7,5,0.14849168858305223,0.020239448616992936,0.06430185303542396,0.04532443741853299,0.05315726299734284
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::test_LANG_1131_EqualsWithNullStrBuilder,5,1,3,3,0.3440761078691792,0.024661826242437065,0.13802079051004976,0.04532443741853299,0.17874795448936553
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testHashCode,12,1,5,5,0.3440761078691792,0.020239448616992936,0.1281847093607724,0.08279186431610462,0.12999998434584853
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testToString,4,1,3,3,0.14849168858305223,0.020239448616992936,0.08384100050538326,0.08279186431610462,0.06413255631218558
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testToStringBuffer,6,1,3,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testToStringBuilder,6,1,3,3,0.08279186431610462,0.03061679779955469,0.0529110331780641,0.04532443741853299,0.026902169390506485
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLang294,5,1,4,4,0.3440761078691792,0.03061679779955469,0.12570230185084288,0.06405815086731881,0.14723029463592402
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIndexOfLang294,5,1,3,3,0.3440761078691792,0.04532443741853299,0.15739746986793893,0.08279186431610462,0.1627502302120639
